phase,seconds,frame,details
node_freeze_update,0.000000,,checked=324;frozen=0;thawed=2;frozen_total=145
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.020923,,changed_elements=5
element_activity_update,0.000000,,checked=54;frozen=0;reactivated=6;active=54
frame_calculation,0.035229,47,sim_time=4800.00000
node_freeze_update,0.000000,,checked=328;frozen=1;thawed=4;frozen_total=142
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.025684,,changed_elements=5
element_activity_update,0.000000,,checked=60;frozen=0;reactivated=11;active=60
frame_calculation,0.040164,48,sim_time=4900.00000
node_freeze_update,0.000000,,checked=331;frozen=1;thawed=4;frozen_total=139
element_burn_update,0.000000,,changed_elements=4
material_burn_delta_update,0.019841,,changed_elements=4
element_activity_update,0.000000,,checked=60;frozen=24;reactivated=4;active=36
frame_calculation,0.034507,49,sim_time=5000.00000
node_freeze_update,0.000000,,checked=337;frozen=0;thawed=7;frozen_total=132
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.020536,,changed_elements=5
element_activity_update,0.000000,,checked=54;frozen=0;reactivated=23;active=54
frame_calculation,0.035152,50,sim_time=5100.00000
node_freeze_update,0.000000,,checked=344;frozen=1;thawed=7;frozen_total=126
element_burn_update,0.000000,,changed_elements=7
material_burn_delta_update,0.024928,,changed_elements=7
element_activity_update,0.000000,,checked=56;frozen=0;reactivated=9;active=56
frame_calculation,0.039345,51,sim_time=5200.00000
node_freeze_update,0.000000,,checked=346;frozen=0;thawed=3;frozen_total=123
element_burn_update,0.000000,,changed_elements=9
material_burn_delta_update,0.028597,,changed_elements=9
element_activity_update,0.000000,,checked=53;frozen=0;reactivated=6;active=53
frame_calculation,0.043136,52,sim_time=5300.00000
node_freeze_update,0.000000,,checked=348;frozen=0;thawed=2;frozen_total=121
element_burn_update,0.000000,,changed_elements=5
material_burn_delta_update,0.021540,,changed_elements=5
element_activity_update,0.000000,,checked=50;frozen=0;reactivated=2;active=50
frame_calculation,0.037176,53,sim_time=5400.00000
node_freeze_update,0.000000,,checked=355;frozen=0;thawed=7;frozen_total=114
element_burn_update,0.000000,,changed_elements=10
material_burn_delta_update,0.034701,,changed_elements=10
element_activity_update,0.000000,,checked=45;frozen=0;reactivated=5;active=45
frame_calculation,0.050388,54,sim_time=5500.00000
node_freeze_update,0.000000,,checked=356;frozen=0;thawed=1;frozen_total=113
element_burn_update,0.000000,,changed_elements=1
material_burn_delta_update,0.016421,,changed_elements=1
element_activity_update,0.000000,,checked=52;frozen=0;reactivated=8;active=52
frame_calculation,0.033982,55,sim_time=5600.00000
